Date,Prediction
2023-10-01,84.85068583330352
2023-10-31,87.70629247811095
2023-11-30,83.16899777729816
2023-12-30,81.05038721918388
2024-01-29,82.94779252610338
2024-02-28,82.61289227403793
2024-03-29,84.50270574696572
2024-04-28,85.37232779433818
2024-05-28,85.94053738196092
2024-06-27,87.49408703159145
2024-07-27,88.1555911919846
2024-08-26,89.16835874202268
2024-09-25,90.36563957487185
2024-10-25,91.13474980891907
2024-11-24,92.25720076103228
2024-12-24,93.26477438205066
2025-01-23,94.1725473806335
2025-02-22,95.26380139487127
2025-03-24,96.2169194403895
2025-04-23,97.20464205532035
2025-05-23,98.24273022814013
2025-06-22,99.20319034668823
2025-07-22,100.21687929107466
2025-08-21,101.22166988553283
2025-09-20,102.2021676422313
2025-10-20,103.21511682937185
2025-11-19,104.2078883496445
2025-12-19,105.20209577370652
2026-01-18,106.20764533430143
2026-02-17,107.19978482880273
2026-03-19,108.19942758299872
2026-04-18,109.19939634928095
2026-05-18,110.19420040442907
2026-06-17,111.19448323373544
2026-07-17,112.19204052463049
2026-08-16,113.18909023343033
2026-09-15,114.18844456630023
2026-10-15,115.18558605506298
2026-11-14,116.18368834535056
2026-12-14,117.18214984827924
2027-01-13,118.17960039745545
2027-02-12,119.17793417899375
2027-03-14,120.17594280757518
2027-04-13,121.17374381369952
2027-05-13,122.17198171590275
2027-06-12,123.16987146953683
2027-07-12,124.16786479420499
2027-08-11,125.16596704495305
2027-09-10,126.16388300684714
2027-10-10,127.1619343521289
2027-11-09,128.15995592245608
2027-12-09,129.1579235716431
2028-01-08,130.15596967115263
2028-02-07,131.1539639136052
2028-03-08,132.15196501711594
2028-04-07,133.14999177841685
2028-05-07,134.14798588999554
2028-06-06,135.14599952338176
2028-07-06,136.1440125701238
2028-08-05,137.1420137595573
2028-09-04,138.14002838244966
2028-10-04,139.1380358062791
2028-11-03,140.13604255412062
2028-12-03,141.1340546572479
2029-01-02,142.13206129588573
2029-02-01,143.13007052227172
2029-03-03,144.12808039883066
2029-04-02,145.126087901991
2029-05-02,146.1240976024059
2029-06-01,147.12210640323585
2029-07-01,148.12011478742392
2029-07-31,149.11812420660098
2029-08-30,150.11613275285947
2029-09-29,151.11414159751888
2029-10-29,152.11215067265536
2029-11-28,153.11015930286158
2029-12-28,154.10816827542595
2030-01-27,155.10617715594162
2030-02-26,156.10418591855102
2030-03-28,157.1021948699588
2030-04-27,158.10020368897125
2030-05-27,159.09821253286077
2030-06-26,160.09622143415137
2030-07-26,161.0942302562964
2030-08-25,162.0922391288353
2030-09-24,163.09024799656976
2030-10-24,164.08825683731874
2030-11-23,165.0862657108623
2030-12-23,166.0842745655749
2031-01-22,167.0822834200206
2031-02-21,168.08029228682108
2031-03-23,169.07830114018694
2031-04-22,170.07631000043452
2031-05-22,171.0743188617083
2031-06-21,172.07232771744435
2031-07-21,173.0703365786215
2031-08-20,174.0683454373535
2031-09-19,175.0663542952933
2031-10-19,176.0643631556716
2031-11-18,177.06237201387194
2031-12-18,178.06038087290892
2032-01-17,179.05838973241947
2032-02-16,180.05639859087265
2032-03-17,181.05440745018694
2032-04-16,182.05241630923018
2032-05-16,183.05042516802038
2032-06-15,184.04843402726283
2032-07-15,185.0464428861693
2032-08-14,186.0444517451561
2032-09-13,187.04246060426965
2032-10-13,188.04046946319218
2032-11-12,189.0384783222439
2032-12-12,190.03648718127567
2033-01-11,191.03449604024667
2033-02-10,192.03250489929738
2033-03-12,193.03051375829926
2033-04-11,194.02852261730385
2033-05-11,195.02653147633671
2033-06-10,196.0245403353367
2033-07-10,197.02254919435478
